CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!2.68 s

Number of sentences: 1
Number of features:  9010
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=232 terr=0.04983 serr=1.00000 act=9010 obj=2605.42142 diff=0.00032
iter=233 terr=0.04958 serr=1.00000 act=9010 obj=2604.64511 diff=0.00030
iter=234 terr=0.04995 serr=1.00000 act=9010 obj=2603.65077 diff=0.00038
iter=235 terr=0.04977 serr=1.00000 act=9010 obj=2602.62757 diff=0.00039
iter=236 terr=0.05032 serr=1.00000 act=9010 obj=2601.27043 diff=0.00052
iter=237 terr=0.05001 serr=1.00000 act=9010 obj=2599.62400 diff=0.00063
iter=238 terr=0.04989 serr=1.00000 act=9010 obj=2598.35291 diff=0.00049
iter=239 terr=0.04983 serr=1.00000 act=9010 obj=2598.58243 diff=0.00009
iter=240 terr=0.04977 serr=1.00000 act=9010 obj=2598.01810 diff=0.00022
iter=241 terr=0.04983 serr=1.00000 act=9010 obj=2597.69886 diff=0.00012
iter=242 terr=0.04989 serr=1.00000 act=9010 obj=2597.49380 diff=0.00008
iter=243 terr=0.04971 serr=1.00000 act=9010 obj=2597.10567 diff=0.00015
iter=244 terr=0.04952 serr=1.00000 act=9010 obj=2596.30315 diff=0.00031
iter=245 terr=0.04940 serr=1.00000 act=9010 obj=2594.97598 diff=0.00051
iter=246 terr=0.05001 serr=1.00000 act=9010 obj=2595.20242 diff=0.00009
iter=247 terr=0.05032 serr=1.00000 act=9010 obj=2594.23880 diff=0.00037
iter=248 terr=0.04995 serr=1.00000 act=9010 obj=2593.46885 diff=0.00030
iter=249 terr=0.04964 serr=1.00000 act=9010 obj=2592.60382 diff=0.00033
iter=250 terr=0.04989 serr=1.00000 act=9010 obj=2592.03345 diff=0.00022
iter=251 terr=0.04995 serr=1.00000 act=9010 obj=2591.39986 diff=0.00024
iter=252 terr=0.05001 serr=1.00000 act=9010 obj=2589.87224 diff=0.00059
iter=253 terr=0.04971 serr=1.00000 act=9010 obj=2589.61557 diff=0.00010
iter=254 terr=0.04952 serr=1.00000 act=9010 obj=2588.27179 diff=0.00052
iter=255 terr=0.04971 serr=1.00000 act=9010 obj=2587.91224 diff=0.00014
iter=256 terr=0.04971 serr=1.00000 act=9010 obj=2587.55694 diff=0.00014
iter=257 terr=0.04958 serr=1.00000 act=9010 obj=2586.91935 diff=0.00025
iter=258 terr=0.04989 serr=1.00000 act=9010 obj=2586.63994 diff=0.00011
iter=259 terr=0.04952 serr=1.00000 act=9010 obj=2585.64565 diff=0.00038
iter=260 terr=0.04940 serr=1.00000 act=9010 obj=2585.43931 diff=0.00008
iter=261 terr=0.04921 serr=1.00000 act=9010 obj=2585.15988 diff=0.00011
iter=262 terr=0.04915 serr=1.00000 act=9010 obj=2584.62809 diff=0.00021
iter=263 terr=0.04952 serr=1.00000 act=9010 obj=2583.49867 diff=0.00044
iter=264 terr=0.04952 serr=1.00000 act=9010 obj=2587.17256 diff=0.00142
iter=265 terr=0.04940 serr=1.00000 act=9010 obj=2583.07101 diff=0.00159
iter=266 terr=0.04952 serr=1.00000 act=9010 obj=2582.00962 diff=0.00041
iter=267 terr=0.04958 serr=1.00000 act=9010 obj=2581.05711 diff=0.00037
iter=268 terr=0.04946 serr=1.00000 act=9010 obj=2580.01552 diff=0.00040
iter=269 terr=0.04977 serr=1.00000 act=9010 obj=2579.11356 diff=0.00035
iter=270 terr=0.04964 serr=1.00000 act=9010 obj=2578.31798 diff=0.00031
iter=271 terr=0.04964 serr=1.00000 act=9010 obj=2578.02008 diff=0.00012
iter=272 terr=0.04940 serr=1.00000 act=9010 obj=2577.06705 diff=0.00037
iter=273 terr=0.04903 serr=1.00000 act=9010 obj=2576.41519 diff=0.00025
iter=274 terr=0.04909 serr=1.00000 act=9010 obj=2575.13737 diff=0.00050
iter=275 terr=0.04897 serr=1.00000 act=9010 obj=2574.11045 diff=0.00040
iter=276 terr=0.04928 serr=1.00000 act=9010 obj=2573.39189 diff=0.00028
iter=277 terr=0.04921 serr=1.00000 act=9010 obj=2573.11741 diff=0.00011
iter=278 terr=0.04928 serr=1.00000 act=9010 obj=2572.47632 diff=0.00025
iter=279 terr=0.04909 serr=1.00000 act=9010 obj=2572.07870 diff=0.00015
iter=280 terr=0.04891 serr=1.00000 act=9010 obj=2571.26598 diff=0.00032
iter=281 terr=0.04860 serr=1.00000 act=9010 obj=2569.92147 diff=0.00052
iter=282 terr=0.04878 serr=1.00000 act=9010 obj=2576.81643 diff=0.00268
iter=283 terr=0.04848 serr=1.00000 act=9010 obj=2569.46225 diff=0.00285
iter=284 terr=0.04878 serr=1.00000 act=9010 obj=2568.22820 diff=0.00048
iter=285 terr=0.04897 serr=1.00000 act=9010 obj=2567.63014 diff=0.00023
iter=286 terr=0.04872 serr=1.00000 act=9010 obj=2567.41709 diff=0.00008
iter=287 terr=0.04878 serr=1.00000 act=9010 obj=2567.13597 diff=0.00011
iter=288 terr=0.04860 serr=1.00000 act=9010 obj=2566.82324 diff=0.00012
iter=289 terr=0.04866 serr=1.00000 act=9010 obj=2566.26039 diff=0.00022
iter=290 terr=0.04878 serr=1.00000 act=9010 obj=2565.83458 diff=0.00017
iter=291 terr=0.04909 serr=1.00000 act=9010 obj=2565.08427 diff=0.00029
iter=292 terr=0.04921 serr=1.00000 act=9010 obj=2564.28493 diff=0.00031
iter=293 terr=0.04884 serr=1.00000 act=9010 obj=2564.32243 diff=0.00001
iter=294 terr=0.04909 serr=1.00000 act=9010 obj=2563.79781 diff=0.00020
iter=295 terr=0.04928 serr=1.00000 act=9010 obj=2563.30126 diff=0.00019
iter=296 terr=0.04928 serr=1.00000 act=9010 obj=2563.17232 diff=0.00005
iter=297 terr=0.04909 serr=1.00000 act=9010 obj=2562.88838 diff=0.00011
iter=298 terr=0.04915 serr=1.00000 act=9010 obj=2562.27834 diff=0.00024
iter=299 terr=0.04934 serr=1.00000 act=9010 obj=2563.41744 diff=0.00044
iter=300 terr=0.04934 serr=1.00000 act=9010 obj=2562.12728 diff=0.00050
iter=301 terr=0.04940 serr=1.00000 act=9010 obj=2561.93596 diff=0.00007
iter=302 terr=0.04915 serr=1.00000 act=9010 obj=2561.71015 diff=0.00009
iter=303 terr=0.04903 serr=1.00000 act=9010 obj=2561.42898 diff=0.00011
iter=304 terr=0.04903 serr=1.00000 act=9010 obj=2560.95956 diff=0.00018
iter=305 terr=0.04903 serr=1.00000 act=9010 obj=2560.26217 diff=0.00027
iter=306 terr=0.04854 serr=1.00000 act=9010 obj=2559.67217 diff=0.00023
iter=307 terr=0.04872 serr=1.00000 act=9010 obj=2559.22168 diff=0.00018
iter=308 terr=0.04878 serr=1.00000 act=9010 obj=2558.56658 diff=0.00026
iter=309 terr=0.04891 serr=1.00000 act=9010 obj=2558.34688 diff=0.00009
iter=310 terr=0.04848 serr=1.00000 act=9010 obj=2558.00658 diff=0.00013
iter=311 terr=0.04872 serr=1.00000 act=9010 obj=2557.54366 diff=0.00018
iter=312 terr=0.04835 serr=1.00000 act=9010 obj=2556.91516 diff=0.00025
iter=313 terr=0.04829 serr=1.00000 act=9010 obj=2556.23939 diff=0.00026
iter=314 terr=0.04841 serr=1.00000 act=9010 obj=2555.66788 diff=0.00022
iter=315 terr=0.04835 serr=1.00000 act=9010 obj=2555.48950 diff=0.00007
