MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,48]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,49]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,50]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,51]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,52]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,53]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,54]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,55]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,56]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,57]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
