Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=119 terr=0.01576 serr=1.00000 act=20694 obj=461.20012 diff=0.01290
iter=120 terr=0.01415 serr=1.00000 act=20694 obj=458.11025 diff=0.00670
iter=121 terr=0.01413 serr=1.00000 act=20694 obj=453.50647 diff=0.01005
iter=122 terr=0.01407 serr=1.00000 act=20694 obj=443.21348 diff=0.02270
iter=123 terr=0.01979 serr=1.00000 act=20694 obj=677.40336 diff=0.52839
iter=124 terr=0.01453 serr=1.00000 act=20694 obj=442.27727 diff=0.34710
iter=125 terr=0.01201 serr=1.00000 act=20694 obj=434.83837 diff=0.01682
iter=126 terr=0.01190 serr=1.00000 act=20694 obj=431.14797 diff=0.00849
iter=127 terr=0.01218 serr=1.00000 act=20694 obj=426.58523 diff=0.01058
iter=128 terr=0.01476 serr=1.00000 act=20694 obj=430.34653 diff=0.00882
iter=129 terr=0.01378 serr=1.00000 act=20694 obj=420.67458 diff=0.02247
iter=130 terr=0.01278 serr=1.00000 act=20694 obj=414.66989 diff=0.01427
iter=131 terr=0.01556 serr=1.00000 act=20694 obj=415.15997 diff=0.00118
iter=132 terr=0.01021 serr=1.00000 act=20694 obj=412.14207 diff=0.00727
iter=133 terr=0.01021 serr=1.00000 act=20694 obj=411.40995 diff=0.00178
iter=134 terr=0.00998 serr=1.00000 act=20694 obj=408.35142 diff=0.00743
iter=135 terr=0.00944 serr=1.00000 act=20694 obj=400.16634 diff=0.02004
iter=136 terr=0.03243 serr=1.00000 act=20694 obj=587.11346 diff=0.46717
iter=137 terr=0.01227 serr=1.00000 act=20694 obj=398.44616 diff=0.32135
iter=138 terr=0.01533 serr=1.00000 act=20694 obj=389.18627 diff=0.02324
iter=139 terr=0.01330 serr=1.00000 act=20694 obj=424.45634 diff=0.09063
iter=140 terr=0.01281 serr=1.00000 act=20694 obj=386.12531 diff=0.09031
iter=141 terr=0.01192 serr=1.00000 act=20694 obj=378.94115 diff=0.01861
iter=142 terr=0.01190 serr=1.00000 act=20694 obj=380.63548 diff=0.00447
iter=143 terr=0.01321 serr=1.00000 act=20694 obj=373.41159 diff=0.01898
iter=144 terr=0.01255 serr=1.00000 act=20694 obj=371.56324 diff=0.00495
iter=145 terr=0.01893 serr=1.00000 act=20694 obj=400.80040 diff=0.07869
iter=146 terr=0.00978 serr=1.00000 act=20694 obj=369.19283 diff=0.07886
iter=147 terr=0.00915 serr=1.00000 act=20694 obj=367.42210 diff=0.00480
iter=148 terr=0.00915 serr=1.00000 act=20694 obj=358.52700 diff=0.02421
iter=149 terr=0.01215 serr=1.00000 act=20694 obj=343.83423 diff=0.04098
iter=150 terr=0.02428 serr=1.00000 act=20694 obj=473.37756 diff=0.37676
iter=151 terr=0.00949 serr=1.00000 act=20694 obj=341.91575 diff=0.27771
iter=152 terr=0.01081 serr=1.00000 act=20694 obj=339.93128 diff=0.00580
iter=153 terr=0.01633 serr=1.00000 act=20694 obj=349.64716 diff=0.02858
iter=154 terr=0.01112 serr=1.00000 act=20694 obj=338.73612 diff=0.03121
iter=155 terr=0.01084 serr=1.00000 act=20694 obj=337.41948 diff=0.00389
iter=156 terr=0.01127 serr=1.00000 act=20694 obj=336.30899 diff=0.00329
iter=157 terr=0.01161 serr=1.00000 act=20694 obj=328.04427 diff=0.02457
iter=158 terr=0.00775 serr=1.00000 act=20694 obj=322.49502 diff=0.01692
iter=159 terr=0.00706 serr=1.00000 act=20694 obj=317.22108 diff=0.01635
iter=160 terr=0.00712 serr=1.00000 act=20694 obj=316.20364 diff=0.00321
iter=161 terr=0.00755 serr=1.00000 act=20694 obj=315.35346 diff=0.00269
iter=162 terr=0.00809 serr=1.00000 act=20694 obj=313.94901 diff=0.00445
iter=163 terr=0.00829 serr=1.00000 act=20694 obj=311.50528 diff=0.00778
iter=164 terr=0.00858 serr=1.00000 act=20694 obj=307.65628 diff=0.01236
iter=165 terr=0.00666 serr=1.00000 act=20694 obj=303.89109 diff=0.01224
iter=166 terr=0.00583 serr=1.00000 act=20694 obj=300.44064 diff=0.01135
iter=167 terr=0.00789 serr=1.00000 act=20694 obj=298.49279 diff=0.00648
iter=168 terr=0.00869 serr=1.00000 act=20694 obj=297.16247 diff=0.00446
iter=169 terr=0.00764 serr=1.00000 act=20694 obj=303.66323 diff=0.02188
iter=170 terr=0.00872 serr=1.00000 act=20694 obj=294.21578 diff=0.03111
iter=171 terr=0.00881 serr=1.00000 act=20694 obj=291.79430 diff=0.00823
iter=172 terr=0.03677 serr=1.00000 act=20694 obj=592.85612 diff=1.03176
iter=173 terr=0.00589 serr=1.00000 act=20694 obj=290.99513 diff=0.50916
iter=174 terr=0.00758 serr=1.00000 act=20694 obj=285.88060 diff=0.01758
iter=175 terr=0.00621 serr=1.00000 act=20694 obj=281.31938 diff=0.01595
iter=176 terr=0.00575 serr=1.00000 act=20694 obj=280.29343 diff=0.00365
iter=177 terr=0.00764 serr=1.00000 act=20694 obj=278.20588 diff=0.00745
iter=178 terr=0.00838 serr=1.00000 act=20694 obj=276.69168 diff=0.00544
iter=179 terr=0.03440 serr=1.00000 act=20694 obj=1259.19625 diff=3.55090
iter=180 terr=0.00735 serr=1.00000 act=20694 obj=276.77191 diff=0.78020
iter=181 terr=0.00766 serr=1.00000 act=20694 obj=274.78572 diff=0.00718
iter=182 terr=0.00855 serr=1.00000 act=20694 obj=270.48357 diff=0.01566
iter=183 terr=0.00741 serr=1.00000 act=20694 obj=266.14027 diff=0.01606
iter=184 terr=0.00801 serr=1.00000 act=20694 obj=264.25115 diff=0.00710
iter=185 terr=0.00692 serr=1.00000 act=20694 obj=263.26887 diff=0.00372
iter=186 terr=0.00609 serr=1.00000 act=20694 obj=260.74449 diff=0.00959
iter=187 terr=0.00743 serr=1.00000 act=20694 obj=259.15641 diff=0.00609
iter=188 terr=0.02885 serr=1.00000 act=20694 obj=465.73285 diff=0.79711
iter=189 terr=0.01061 serr=1.00000 act=20694 obj=256.52951 diff=0.44919
iter=190 terr=0.00589 serr=1.00000 act=20694 obj=246.20020 diff=0.04027
iter=191 terr=0.00420 serr=1.00000 act=20694 obj=244.70034 diff=0.00609
iter=192 terr=0.00418 serr=1.00000 act=20694 obj=244.19559 diff=0.00206
iter=193 terr=0.00418 serr=1.00000 act=20694 obj=243.93323 diff=0.00107
iter=194 terr=0.00418 serr=1.00000 act=20694 obj=242.82352 diff=0.00455
iter=195 terr=0.00418 serr=1.00000 act=20694 obj=240.77649 diff=0.00843
iter=196 terr=0.08527 serr=1.00000 act=20694 obj=3210.08984 diff=12.33224
iter=197 terr=0.00572 serr=1.00000 act=20694 obj=240.62007 diff=0.92504
iter=198 terr=0.00595 serr=1.00000 act=20694 obj=237.62175 diff=0.01246
iter=199 terr=0.00355 serr=1.00000 act=20694 obj=236.30023 diff=0.00556
iter=200 terr=0.00429 serr=1.00000 act=20694 obj=235.23030 diff=0.00453
iter=201 terr=0.00560 serr=1.00000 act=20694 obj=234.61795 diff=0.00260
iter=202 terr=0.00552 serr=1.00000 act=20694 obj=233.67043 diff=0.00404
iter=203 terr=0.00532 serr=1.00000 act=20694 obj=232.07519 diff=0.00683
iter=204 terr=0.00643 serr=1.00000 act=20694 obj=230.37928 diff=0.00731
iter=205 terr=0.00532 serr=1.00000 act=20694 obj=228.78533 diff=0.00692
iter=206 terr=0.00535 serr=1.00000 act=20694 obj=228.01077 diff=0.00339
iter=207 terr=0.00535 serr=1.00000 act=20694 obj=227.25597 diff=0.00331
iter=208 terr=0.00512 serr=1.00000 act=20694 obj=225.55868 diff=0.00747
iter=209 terr=0.00303 serr=1.00000 act=20694 obj=223.12117 diff=0.01081
iter=210 terr=0.00329 serr=1.00000 act=20694 obj=220.03484 diff=0.01383
iter=211 terr=0.00852 serr=1.00000 act=20694 obj=228.71796 diff=0.03946
iter=212 terr=0.00289 serr=1.00000 act=20694 obj=218.61217 diff=0.04418
iter=213 terr=0.00266 serr=1.00000 act=20694 obj=216.51732 diff=0.00958
iter=214 terr=0.01621 serr=1.00000 act=20694 obj=274.10217 diff=0.26596
iter=215 terr=0.00260 serr=1.00000 act=20694 obj=214.97960 diff=0.21570
iter=216 terr=0.00260 serr=1.00000 act=20694 obj=212.66163 diff=0.01078
iter=217 terr=0.00260 serr=1.00000 act=20694 obj=211.20804 diff=0.00684
iter=218 terr=0.00315 serr=1.00000 act=20694 obj=210.18364 diff=0.00485
iter=219 terr=0.00586 serr=1.00000 act=20694 obj=213.82198 diff=0.01731
iter=220 terr=0.00315 serr=1.00000 act=20694 obj=209.96493 diff=0.01804
